rh,temp,co2
63.53,28.077,97.9000015259
63.743,28.051,98
63.743,28.051,99.9000015259
63.936,28.036,100.599998474
63.936,28.036,99.5999984741
64.156,28.025,98.9000015259
64.156,28.025,99
63.936,28.036,99.4000015259
63.936,28.036,99.9000015259
63.936,28.036,99.6999969482
63.936,28.036,98.9000015259
63.936,28.036,98.3000030518
63.936,28.036,98.9000015259
63.936,28.036,98.1999969482
63.936,28.036,97.9000015259
63.936,28.036,98
63.936,28.036,98.4000015259
64.156,28.025,98.4000015259
64.156,28.025,98.0999984741
66.194,27.957,98.6999969482
66.194,27.957,98.8000030518
64.156,28.025,98.8000030518
64.156,28.025,98.4000015259
66.275,27.944,98.3000030518
66.275,27.944,98.5999984741
66.311,27.931,99
66.311,27.931,98.5
66.367,27.92,99.3000030518
66.367,27.92,98.8000030518
66.311,27.931,99.8000030518
66.311,27.931,99.0999984741
66.447,27.91,100.300003052
66.447,27.91,99.6999969482
66.699,27.889,99.9000015259
66.699,27.889,100.199996948
66.8,27.877,99
66.8,27.877,99.0999984741
66.899,27.862,99.5
66.899,27.862,98
66.997,27.85,97.5999984741
66.997,27.85,97.0999984741
66.899,27.862,97.4000015259
66.899,27.862,97
67.093,27.839,98.8000030518
67.093,27.839,99.5
67.21,27.83,99.0999984741
67.21,27.83,100.199996948
67.21,27.83,99.8000030518
67.21,27.83,99.8000030518
67.409,27.81,98.5
67.409,27.81,99.1999969482
67.21,27.83,98.5999984741
67.21,27.83,100.099998474
67.409,27.81,99.6999969482
67.409,27.81,99.0999984741
67.409,27.81,99.6999969482
67.409,27.81,99.4000015259
67.658,27.795,101.199996948
67.658,27.795,101.199996948
67.744,27.797,101.199996948
67.744,27.797,100.900001526
67.658,27.795,101.800003052
67.658,27.795,101.599998474
67.658,27.795,101.5
67.658,27.795,102.099998474
67.579,27.807,101.800003052
67.579,27.807,102.5
67.744,27.797,101.800003052
67.744,27.797,101.599998474
67.744,27.797,101.599998474
67.744,27.797,100.800003052
67.744,27.797,101
67.744,27.797,101.599998474
67.744,27.797,102.099998474
67.744,27.797,102.199996948
67.744,27.797,101.699996948
67.744,27.797,101.900001526
67.744,27.797,102.400001526
67.744,27.797,103.199996948
65.819,27.807,103.800003052
65.819,27.807,104.699996948
65.732,27.87,105.300003052
65.732,27.87,104.699996948
65.739,27.878,103.900001526
65.739,27.878,103.099998474
65.739,27.878,103.300003052
65.739,27.878,103.199996948
65.739,27.878,102.699996948
65.739,27.878,102.800003052
65.739,27.878,101.800003052
65.739,27.878,101.400001526
65.739,27.878,101.900001526
65.739,27.878,101.5
65.6,27.919,102.400001526
65.6,27.919,102.099998474
65.606,27.93,102.099998474
65.606,27.93,101.800003052
65.6,27.919,101.5
65.6,27.919,100.800003052
65.635,27.942,100.800003052
65.635,27.942,101.300003052
65.729,27.942,101
65.729,27.942,100.5
65.717,27.963,101.699996948
65.717,27.963,100.900001526
65.702,27.968,100.300003052
65.702,27.968,100.400001526
65.717,27.963,100
65.717,27.963,100.199996948
65.718,27.97,98.6999969482
65.718,27.97,99.4000015259
65.789,27.971,98.5999984741
65.789,27.971,99.1999969482
65.919,27.97,99.3000030518
65.919,27.97,98.9000015259
65.789,27.971,99.6999969482
65.789,27.971,100.099998474
65.789,27.971,100
65.789,27.971,101.199996948
66.256,27.957,100.5
66.256,27.957,99.9000015259
66.366,27.952,100
66.366,27.952,99.5999984741
66.517,27.941,99.3000030518
66.517,27.941,99.8000030518
66.653,27.929,100.099998474
66.653,27.929,98.5999984741
66.517,27.941,100.800003052
66.517,27.941,101.699996948
66.517,27.941,100.300003052
66.517,27.941,102
66.517,27.941,101.400001526
66.517,27.941,101.300003052
66.517,27.941,101.300003052
66.517,27.941,103
66.517,27.941,102.900001526
66.517,27.941,103.5
66.653,27.929,104.099998474
66.653,27.929,104
66.653,27.929,103.699996948
66.653,27.929,104.300003052
67.09,27.784,105.400001526
67.09,27.784,105.599998474
66.981,27.777,106.599998474
66.981,27.777,107.199996948
66.838,27.773,106.599998474
66.838,27.773,107.199996948
66.62,27.769,107.800003052
66.62,27.769,107.5
66.838,27.773,109.300003052
66.838,27.773,109.400001526
66.512,27.766,110
66.512,27.766,109.199996948
66.62,27.769,109.199996948
66.62,27.769,109.599998474
66.62,27.769,109.699996948
66.62,27.769,109.5
66.512,27.766,109.900001526
66.512,27.766,108.800003052
66.512,27.766,109.300003052
66.512,27.766,109.699996948
65.522,27.755,109.300003052
65.522,27.755,108.599998474
65.368,27.759,108
65.368,27.759,108.699996948
65.368,27.759,107.699996948
65.368,27.759,108.800003052
64.741,27.767,108.599998474
64.741,27.767,108.5
65.368,27.759,107.5
65.368,27.759,107.599998474
64.538,27.774,107
64.538,27.774,107.099998474
64.299,27.78,107.199996948
64.299,27.78,107.199996948
64.538,27.774,107.5
64.538,27.774,107.599998474
64.538,27.774,107.5
64.538,27.774,106.699996948
64.538,27.774,107
64.538,27.774,106.599998474
64.538,27.774,106.900001526
64.538,27.774,107
63.302,27.804,106.5
63.302,27.804,106.800003052
63.224,27.808,106.599998474
63.224,27.808,107.599998474
63.302,27.804,107.400001526
63.302,27.804,106.300003052
63.302,27.804,106.800003052
63.302,27.804,106.199996948
63.302,27.804,106.300003052
63.302,27.804,106.400001526
63.302,27.804,105.300003052
63.302,27.804,104.699996948
63.302,27.804,106.400001526
63.302,27.804,106.300003052
63.302,27.804,106.300003052
63.302,27.804,107.300003052
63.302,27.804,105.900001526
63.302,27.804,106.099998474
63.302,27.804,105.400001526
63.302,27.804,104.199996948
62.986,27.848,104.199996948
62.986,27.848,104
62.939,27.852,102.400001526
62.944,27.853,103.199996948
62.944,27.853,103.300003052
62.939,27.852,103.300003052
62.939,27.852,103.699996948
62.916,27.854,105.300003052
62.916,27.854,105.300003052
62.903,27.86,103.699996948
62.903,27.86,103.800003052
62.893,27.865,102.400001526
62.893,27.865,102.400001526
62.869,27.872,102.300003052
62.869,27.872,102.300003052
62.86,27.874,102.099998474
62.86,27.874,102.400001526
62.869,27.872,102.5
62.869,27.872,102.699996948
62.845,27.875,102
62.845,27.875,100.699996948
62.912,27.876,100.800003052
62.912,27.876,102
62.979,27.875,103.199996948
62.979,27.875,102.400001526
63.015,27.871,102.199996948
63.015,27.871,102.099998474
62.979,27.875,102.099998474
62.979,27.875,101.300003052
63.015,27.871,100.599998474
63.015,27.871,100.300003052
62.968,27.866,100.699996948
62.968,27.866,102
63.015,27.871,101
63.015,27.871,100.800003052
63.015,27.871,101.5
63.015,27.871,101.300003052
62.968,27.866,100.800003052
62.968,27.866,101.699996948
62.885,27.831,102.599998474
62.885,27.831,102.300003052
62.909,27.823,102.5
62.909,27.823,101.699996948
62.885,27.831,102.699996948
62.885,27.831,102.099998474
62.885,27.831,102
62.885,27.831,102.800003052
62.885,27.831,102.199996948
62.885,27.831,102.199996948
62.885,27.831,102.5
62.885,27.831,102.599998474
62.885,27.831,102.400001526
62.885,27.831,103
62.909,27.823,102.699996948
62.909,27.823,101.300003052
62.909,27.823,101.800003052
62.909,27.823,102.699996948
63.592,27.711,102.699996948
63.592,27.711,102.699996948
63.553,27.705,102.599998474
63.553,27.705,103.300003052
63.544,27.7,104.199996948
63.544,27.7,104.800003052
63.597,27.695,104.300003052
63.597,27.695,103.5
63.544,27.7,103.900001526
63.544,27.7,104.699996948
63.636,27.686,105
63.636,27.686,104.900001526
63.773,27.65,105.699996948
63.773,27.65,107.400001526
63.773,27.65,106.5
63.773,27.65,106.699996948
63.598,27.599,107
63.598,27.599,107
63.598,27.599,106.699996948
63.598,27.599,106.400001526
63.598,27.599,108.199996948
63.598,27.599,108.400001526
63.439,27.551,108.800003052
63.439,27.551,108.900001526
63.399,27.528,109
63.399,27.528,109.5
63.308,27.483,108.5
63.308,27.483,110.199996948
63.255,27.466,110.5
63.255,27.466,110.300003052
63.308,27.483,110.699996948
63.308,27.483,110.699996948
63.255,27.466,111.099998474
63.255,27.466,109.900001526
63.255,27.466,111.199996948
63.255,27.466,111.300003052
63.255,27.466,111
63.255,27.466,111.400001526
63.255,27.466,110.599998474
63.255,27.466,110.699996948
63.952,27.428,110.300003052
63.952,27.428,110.400001526
64.165,27.428,112.699996948
64.165,27.428,113.699996948
64.336,27.427,114.599998474
64.336,27.427,114.5
64.165,27.428,114.400001526
64.165,27.428,114.099998474
64.165,27.428,113.800003052
64.165,27.428,113.5
64.165,27.428,113.300003052
64.165,27.428,113.5
64.165,27.428,114.5
